Tempo,X,Y,Theta,TicksE,TicksD,Gz
0.000,0.000,0.000,0,0
135.54,0.007,0.000,0.000,1,1,0.84
135.59,0.032,-0.000,-0.009,4,5,-11.46
135.64,0.053,-0.000,-0.009,7,8,-0.80
135.69,0.078,-0.001,-0.013,10,12,-3.59
135.74,0.100,-0.001,-0.021,13,15,-9.87
135.79,0.125,-0.002,-0.025,16,19,-3.71
135.84,0.146,-0.002,-0.034,19,22,-10.63
135.89,0.171,-0.003,-0.031,22,26,2.53
135.94,0.196,-0.004,-0.032,26,29,-0.80
135.99,0.221,-0.005,-0.039,29,33,-6.69
136.04,0.249,-0.006,-0.040,33,37,-2.77
136.09,0.285,-0.007,-0.038,38,42,2.23
136.14,0.313,-0.008,-0.046,42,46,-8.99
136.19,0.349,-0.010,-0.060,47,51,-15.89
136.24,0.377,-0.012,-0.071,51,55,-12.96
136.29,0.402,-0.014,-0.066,54,59,5.55
136.34,0.430,-0.016,-0.060,58,63,6.46
136.39,0.459,-0.017,-0.065,62,67,-5.85
136.44,0.487,-0.019,-0.067,66,71,-2.83
136.49,0.516,-0.021,-0.071,70,75,-5.98
136.54,0.548,-0.024,-0.076,74,80,-5.85
136.59,0.573,-0.025,-0.065,78,83,11.93
136.64,0.597,-0.027,-0.065,81,87,1.12
136.69,0.629,-0.029,-0.062,85,92,3.46
136.74,0.654,-0.031,-0.062,89,95,1.68
136.79,0.672,-0.032,-0.073,91,98,-12.69
136.84,0.697,-0.034,-0.080,94,102,-7.59
136.89,0.718,-0.035,-0.075,97,105,6.00
136.94,0.743,-0.037,-0.075,101,108,0.79
136.99,0.768,-0.039,-0.073,104,112,2.10
137.51,0.768,-0.039,-0.073,108,116,0.07
137.56,0.768,-0.039,-0.012,110,118,70.74
137.61,0.764,-0.039,0.099,113,122,126.95
137.66,0.757,-0.040,0.223,115,126,142.88
137.71,0.761,-0.039,0.356,119,129,151.98
137.76,0.764,-0.038,0.494,123,132,157.13
137.81,0.761,-0.040,0.627,126,136,152.20
137.86,0.761,-0.040,0.772,129,139,166.61
